YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
1901,35.22,40.51,21.1,46.39,70.43,194.61,291.21,301.33,134.15,73.7,64.76,10.81,1284.21,75.72,137.92,921.31,149.26
1902,8.52,8.31,20.95,45.77,72.04,168.82,351.15,239.8,258.61,86.71,43.46,33.15,1337.3,16.81,138.78,1018.39,163.33
1903,16.85,14.34,26.58,16.97,80.24,171.99,362.11,299.48,216.62,125.35,48.52,22.31,1399.91,31.2,123.77,1050.19,197.54
1904,11.7,9.39,28.88,41.4,92.45,237.49,311.97,217.01,167.4,84.55,19.76,14.77,1236.77,21.08,162.73,933.87,119.09
1905,23.2,20.48,40.94,34.75,76.44,164.81,288.31,246.78,179.26,78.17,16.03,17.01,1186.18,43.67,152.13,879.17,111.21
1906,21.2,45.83,26.67,16.21,64.01,234.06,345.57,289.95,179.0,72.14,25.4,27.95,1348.01,67.03,106.9,1048.56,125.51
1907,19.55,39.52,40.61,66.59,53.83,207.62,302.93,338.39,117.51,41.16,50.33,20.36,1298.4,59.07,161.02,966.45,111.85
1908,19.47,19.43,7.66,37.26,72.61,190.37,394.93,326.76,176.58,52.86,16.03,13.27,1327.25,38.9,117.53,1088.67,82.15
1909,24.39,13.45,7.4,65.16,69.28,270.18,356.41,263.46,176.66,54.0,15.2,27.88,1343.46,37.85,141.83,1066.71,97.08
1910,12.53,9.97,19.67,31.33,58.54,281.18,287.33,318.05,226.53,132.05,50.53,8.43,1436.15,22.49,109.54,1113.1,191.01
1911,38.83,4.21,44.35,27.52,69.73,258.15,222.71,232.73,190.38,97.79,50.97,22.55,1259.91,43.03,141.6,903.95,171.33
1912,32.86,20.03,20.89,46.32,60.68,182.42,387.04,293.97,138.74,85.97,60.51,6.86,1336.34,52.9,127.91,1002.19,153.35
1913,8.61,36.53,25.47,27.23,93.66,280.38,324.73,210.93,134.56,94.96,22.88,26.01,1285.96,45.15,146.35,950.61,143.86
1914,3.54,26.27,25.8,45.79,84.31,213.17,418.81,293.7,219.59,67.16,32.52,36.55,1467.21,29.81,155.89,1145.26,136.24
1915,19.02,35.67,45.21,38.79,82.21,210.73,283.41,246.59,202.73,106.62,58.96,18.1,1348.05,54.7,166.22,943.44,183.69
1916,4.07,17.68,11.39,40.77,84.1,304.1,321.08,325.12,249.68,159.91,57.94,6.48,1525.71,21.75,136.26,1165.43,224.33
1917,6.38,39.07,24.32,44.64,84.81,287.06,326.2,321.07,312.15,181.06,37.06,14.52,1620.25,44.61,146.48,1246.46,232.64
1918,13.65,3.69,36.77,40.94,164.9,265.74,217.27,283.72,128.95,31.43,58.44,18.06,1263.53,17.34,242.6,895.67,107.93
1919,47.35,18.05,17.49,36.15,81.28,253.41,358.35,290.34,190.07,110.6,65.48,25.36,1493.94,65.4,134.92,1092.18,201.44
1920,26.2,22.06,58.16,42.3,66.41,234.89,338.09,223.65,160.85,72.5,42.75,5.34,1270.96,46.65,166.89,957.49,120.59
1921,36.43,6.81,19.44,52.87,75.22,245.23,359.82,321.46,234.31,94.98,23.15,15.37,1481.05,43.23,147.55,1166.57,133.49
1922,33.81,11.7,13.23,47.76,69.64,272.8,386.99,257.64,230.49,75.72,79.43,19.42,1498.65,45.51,130.63,1147.94,174.57
1923,21.9,39.31,21.5,35.89,74.67,172.74,425.39,305.46,211.58,67.22,26.3,22.91,1377.78,61.21,124.22,1115.18,116.44
1924,20.9,19.52,13.41,37.68,80.44,215.83,409.59,298.14,266.09,81.68,66.86,14.33,1501.01,40.42,131.54,1189.66,146.82
1925,13.48,11.07,17.02,51.34,128.04,278.04,341.0,281.02,155.91,85.56,50.74,26.33,1439.53,24.55,196.4,1055.97,162.62
1926,37.6,10.76,55.97,41.58,78.13,158.46,384.6,364.83,226.78,75.18,18.84,24.33,1477.06,48.36,175.68,1134.69,118.34
1927,15.27,37.06,23.68,44.52,80.71,240.6,401.63,272.49,204.17,86.42,65.6,10.27,1482.6,52.34,148.91,1125.69,162.31
1928,22.66,39.78,22.21,38.31,78.29,239.3,357.7,284.05,161.31,153.23,27.75,24.99,1450.17,62.43,136.04,1042.38,205.95
1929,30.22,22.79,19.88,66.57,90.11,279.22,332.86,265.14,149.47,124.55,28.39,39.78,1446.06,53.02,176.55,1026.72,193.72
1930,22.55,24.1,28.05,49.66,77.32,251.32,309.7,243.74,215.22,110.74,63.82,18.28,1414.51,46.66,155.03,1019.98,192.84
1931,10.82,31.43,20.82,41.67,77.65,189.14,403.46,356.05,217.7,139.73,47.22,28.41,1562.59,43.13,140.14,1166.37,215.37
1932,7.38,21.3,19.86,35.52,127.76,191.75,379.93,273.23,207.67,97.43,71.97,17.09,1441.17,28.69,183.13,1052.59,186.49
1933,14.99,26.54,21.7,54.33,151.99,281.82,350.26,341.48,258.29,116.81,29.95,18.58,1666.75,41.53,228.02,1231.84,165.36
1934,26.17,17.64,16.61,53.41,58.04,292.69,330.32,330.37,183.6,84.91,43.26,11.04,1448.09,43.81,128.07,1136.98,139.23
1935,25.36,20.47,17.79,46.24,60.58,218.81,353.76,290.38,217.31,68.86,28.55,15.09,1363.21,45.82,124.61,1080.28,112.49
1936,10.57,38.73,38.86,38.05,113.52,311.59,350.3,270.05,219.2,79.86,65.1,28.69,1521.35,49.3,185.9,1151.15,173.66
1937,5.93,50.5,17.48,61.8,76.3,225.79,407.52,235.41,194.08,123.36,30.89,34.13,1463.21,56.44,155.58,1062.81,188.38
1938,29.02,29.79,31.83,42.83,98.22,344.95,350.83,284.12,205.45,94.68,33.6,9.96,1555.32,58.82,172.87,1185.37,138.25
1939,11.92,28.82,27.12,45.93,60.16,238.78,327.81,261.04,174.26,109.48,41.22,5.08,1331.62,40.75,133.21,1001.9,155.78
1940,11.73,27.6,50.42,28.23,97.73,224.36,364.73,338.45,150.18,79.05,53.18,25.45,1451.07,39.33,176.37,1077.71,157.66
1941,22.71,16.02,16.12,36.23,109.62,236.64,277.8,257.65,179.69,81.99,36.9,27.02,1298.43,38.73,161.99,951.79,145.91
1942,20.29,38.72,21.81,56.37,79.79,271.42,396.59,310.94,198.54,48.13,20.6,28.96,1492.56,59.03,157.98,1177.49,97.7
1943,53.86,11.69,28.47,54.8,122.74,240.54,359.03,249.73,233.44,110.45,26.37,5.86,1482.05,65.53,206.16,1082.75,142.67
1944,27.77,36.17,53.01,35.55,78.98,211.67,396.19,284.67,177.07,107.41,38.3,16.48,1463.27,63.94,167.54,1069.6,162.2
1945,33.23,10.45,17.73,48.22,63.59,207.91,396.28,281.02,231.46,93.47,24.9,6.93,1415.21,43.68,129.55,1116.67,125.31
1946,5.86,16.51,25.93,58.38,91.47,281.52,373.82,335.75,175.55,103.05,80.16,41.03,1590.4,22.37,177.01,1166.63,224.25
1947,20.63,19.1,30.22,51.72,67.93,198.16,377.27,331.66,268.0,84.03,9.73,25.84,1436.29,39.73,149.86,1150.99,119.59
1948,23.24,28.77,38.71,50.71,110.33,220.1,401.06,320.0,188.22,78.17,81.3,8.99,1549.6,52.0,199.75,1129.38,168.47
1949,9.83,26.29,22.0,64.37,130.84,227.38,401.21,282.87,262.09,111.21,13.38,4.28,1549.68,36.12,217.21,1173.53,129.64
1950,24.42,24.03,34.56,32.23,69.6,195.61,400.18,264.22,241.8,74.15,31.56,13.66,1372.29,48.46,136.38,1101.86,119.38
1951,15.79,10.39,41.48,63.44,75.71,235.67,330.86,231.79,148.68,99.51,44.01,17.52,1314.86,26.19,180.63,946.98,161.04
1952,9.29,18.44,37.17,39.12,95.81,232.05,321.37,288.36,131.72,111.16,17.27,22.62,1324.37,27.72,172.11,973.48,151.06
